2019/04/22 14:45:17 [INFO]: [main]  server start...
2019/04/22 14:52:22 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:27 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:27 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:32 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:32 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:37 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:37 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:42 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:42 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:47 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:47 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:52 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:52 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:52:57 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:52:57 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:53:02 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:53:02 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
2019/04/22 14:53:07 [INFO]: [Clinet.parseMessage]  Rance send: Header_HeartBeat
2019/04/22 14:53:07 [INFO]: [Clinet.parseMessage]  Rance Header_HeartBeat handle result 0
